State,ProjectType,ReportingPeriod,FundingAmount
22,4,2014,132827.08
22,22,2014,171710.92
22,2,2014,30866.84
22,6,2014,5963.99
22,23,2014,38427.32
22,6,2014,1225.0
22,9,2014,1048.77
22,10,2014,89241.66
22,18,2014,1174.9
22,23,2014,1510.67
22,4,2014,65000.0
22,6,2014,4000.0
22,9,2014,1024.0
22,4,2014,73180.0
22,9,2014,1000.0
22,9,2014,103772.0
22,4,2014,90185.0
22,4,2014,75013.0
24,4,2014,10039.35
24,4,2014,13603.08
24,4,2014,37672.26
24,4,2014,11604.41
24,4,2014,13635.52
24,4,2014,6438.21
24,4,2014,7180.69
24,4,2014,33614.42
24,4,2014,21445.24
24,4,2014,18547.7
24,4,2014,40441.01
24,4,2014,11343.9
24,4,2014,34325.44
24,4,2014,32559.34
24,4,2014,24717.6
24,4,2014,31085.54
24,4,2014,21278.54
24,4,2014,37853.33
24,4,2014,43864.44
24,4,2014,13972.85
24,4,2014,64737.63
24,4,2014,41012.26
24,4,2014,64169.22
24,4,2014,58923.07
24,4,2014,66395.87
24,4,2014,6728.9
24,4,2014,58137.53
24,4,2014,15363.83
24,4,2014,10680.32
24,4,2014,31823.29
24,4,2014,18570.54
24,4,2014,8219.63
24,4,2014,21431.86
24,4,2014,32818.72
24,4,2014,17704.59
24,4,2014,42659.15
24,4,2014,40095.64
24,4,2014,5948.58
24,4,2014,11284.35
24,4,2014,26934.88
24,4,2014,15326.02
24,4,2014,8753.38
24,4,2014,27537.56
24,4,2014,16733.47
24,4,2014,54263.16
24,4,2014,11559.91
24,4,2014,9797.32
24,4,2014,13153.26
24,4,2014,8856.97
24,4,2014,35073.73
24,4,2014,31278.35
24,4,2014,5818.59
24,4,2014,20256.94
24,4,2014,4679.36
24,4,2014,13556.37
24,4,2014,26988.22
24,4,2014,20614.3
24,4,2014,31053.34
24,4,2014,27579.51
24,4,2014,5475.86
24,4,2014,12792.28
24,4,2014,51525.98
24,4,2014,31247.59
24,4,2014,70098.43
24,4,2014,20687.98
24,4,2014,24250.85
24,4,2014,1595.01
24,10,2014,6706140.0
24,4,2014,43642.79
24,4,2014,9391.26
24,4,2014,25713.79
24,4,2014,17532.0
24,4,2014,7495.08
24,4,2014,32979.97
24,4,2014,58622.03
24,4,2014,22967.76
24,4,2014,12777.29
24,4,2014,9439.31
24,4,2014,23676.21
24,4,2014,7697.65
24,4,2014,6482.23
24,4,2014,45370.12
24,4,2014,5266.81
24,4,2014,8833.66
24,4,2014,43442.4
24,4,2014,22932.13
24,4,2014,4051.33
24,4,2014,23136.32
24,4,2014,44143.58
24,4,2014,25367.55
24,0,2014,262.25
24,4,2014,29494.38
24,4,2014,29644.87
24,4,2014,65685.04
24,4,2014,58113.07
24,4,2014,16952.65
25,4,2014,20907.0
25,27,2014,127269.0
25,4,2014,48000.0
25,4,2014,27200.0
25,4,2014,27236.0
25,6,2014,25153.0
25,4,2014,15080.0
25,4,2014,37834.0
25,4,2014,22603.56
25,4,2014,24601.0
25,4,2014,50279.0
25,4,2014,30171.0
25,4,2014,17899.54
25,4,2014,30618.0
25,4,2014,20000.0
25,4,2014,30000.0
25,4,2014,14753.25
25,4,2014,30000.0
25,4,2014,33072.0
25,4,2014,9921.71
25,4,2014,16557.0
25,4,2014,18800.0
25,4,2014,43973.0
25,4,2014,57576.49
25,4,2014,20564.0
25,4,2014,14517.18
25,4,2014,2758780.74
25,4,2014,14133.0
25,4,2014,21390.0
25,4,2014,24584.0
25,4,2014,32697.0
25,4,2014,15428.0
25,4,2014,501597.51
25,4,2014,22586.0
25,4,2014,24789.0
25,4,2014,33024.0
25,4,2014,19094.0
25,4,2014,17514.0
25,4,2014,29742.0
25,4,2014,15093.0
25,4,2014,14298.29
25,4,2014,16273.0
25,4,2014,17956.0
25,4,2014,14095.0
25,4,2014,23859.0
25,4,2014,15729.0
25,4,2014,24761.27
25,4,2014,11443.25
25,4,2014,32259.0
25,4,2014,22603.0
25,4,2014,25300.0
25,4,2014,21620.0
25,4,2014,20697.0
25,4,2014,75652.65
25,4,2014,28912.68
25,4,2014,24067.0
25,4,2014,36896.0
25,4,2014,18003.0
25,4,2014,24884.0
25,4,2014,22285.0
25,4,2014,15843.0
25,4,2014,68183.0
25,4,2014,17746.45
25,4,2014,34867.23
25,4,2014,22614.0
25,4,2014,36756.0
25,4,2014,25242.0
25,4,2014,17650.0
25,4,2014,201548.0
25,4,2014,14015.0
25,4,2014,21077.0
25,4,2014,22017.0
25,4,2014,34910.0
25,4,2014,17852.0
25,4,2014,17285.0
25,4,2014,65033.0
25,4,2014,24242.5
25,4,2014,39281.0
25,4,2014,79634.06
25,4,2014,66057.0
25,4,2014,25564.0
25,4,2014,16910.0
25,4,2014,17782.0
25,4,2014,18095.18
25,4,2014,29848.84
25,4,2014,21023.0
25,4,2014,16691.0
25,4,2014,20076.0
25,4,2014,108962.0
25,4,2014,17445.0
25,4,2014,31016.61
25,4,2014,29810.0
25,4,2014,54825.83
25,4,2014,18177.0
26,18,2014,31055.0
26,18,2014,35364.0
26,18,2014,19747.0
26,18,2014,23543.0
26,18,2014,17150.0
26,18,2014,33646.0
26,18,2014,13828.0
26,18,2014,18252.0
26,18,2014,23761.0
26,18,2014,17043.0
26,18,2014,19166.0
26,18,2014,23372.0
26,18,2014,25674.0
26,18,2014,28929.0
26,18,2014,29375.0
26,18,2014,23545.0
26,18,2014,107139.0
26,18,2014,57711.0
26,18,2014,16790.0
26,18,2014,25321.0
26,18,2014,20496.0
26,18,2014,24925.0
26,18,2014,39418.0
26,31,2014,123892.0
26,18,2014,156718.0
26,18,2014,23327.0
26,18,2014,17531.0
26,18,2014,5830.0
26,18,2014,25807.0
26,18,2014,90424.0
26,18,2014,22067.0
26,18,2014,19193.0
26,18,2014,19367.0
26,18,2014,53284.0
26,18,2014,18169.0
26,18,2014,39937.0
26,18,2014,46338.0
26,18,2014,60854.0
26,18,2014,21128.0
26,18,2014,26594.0
26,18,2014,60197.0
26,18,2014,31067.0
26,18,2014,34073.0
26,18,2014,48770.0
26,18,2014,68170.0
26,18,2014,27982.0
26,18,2014,33915.0
26,18,2014,18248.0
26,18,2014,1835630.0
26,18,2014,33824.0
26,18,2014,11446.0
26,18,2014,25534.0
26,18,2014,23823.0
26,18,2014,18812.0
26,18,2014,40126.0
26,18,2014,33977.0
26,18,2014,44942.0
26,18,2014,19228.0
26,18,2014,37338.0
26,18,2014,31175.0
26,18,2014,28413.0
26,18,2014,9852.0
26,18,2014,95554.0
26,18,2014,30176.0
26,18,2014,7900.0
26,18,2014,29727.0
26,18,2014,21730.0
26,18,2014,23994.0
26,18,2014,29376.0
26,18,2014,22573.0
26,18,2014,29043.0
26,18,2014,25117.0
26,18,2014,23560.0
26,18,2014,19859.0
26,18,2014,28009.0
26,18,2014,21111.0
26,18,2014,40776.0
26,18,2014,43671.0
26,18,2014,24241.0
26,18,2014,18049.0
26,18,2014,19328.0
26,18,2014,23191.0
26,18,2014,19480.0
26,18,2014,28558.0
27,30,2014,337015.97
27,6,2014,6253047.03
28,4,2014,34850.0
28,4,2014,21368.86
